Name,Url,Authority,Started On,Finished On,License Number
Machine Learning,https://www.coursera.org/account/accomplishments/verify/X4AUDY84ZJ49,Coursera,,,X4AUDY84ZJ49
Game Theory,https://www.coursera.org/account/accomplishments/verify/GNXW75VHMLPR,Coursera,Jan 2019,,GNXW75VHMLPR
Game Theory II: Advanced Applications,https://www.coursera.org/account/accomplishments/verify/ERGPJ6RNKYHQ,Coursera,Jan 2019,,ERGPJ6RNKYHQ
Bayesian Statistics: From Concept to Data Analysis,https://www.coursera.org/account/accomplishments/verify/ZYZEUYVDYS4X,Coursera,Feb 2019,,ZYZEUYVDYS4X
Introduction to the Philosophy of Physical Sciences,https://www.coursera.org/account/accomplishments/certificate/BR2PPN8DCLR2,Coursera,Aug 2019,,BR2PPN8DCLR2
Introduction to Philosophy,https://www.coursera.org/account/accomplishments/certificate/NY3JP45M2BKS,Coursera,Aug 2019,,NY3JP45M2BKS
Machine Learning with Tensorflow on Google cloud platform specialization,https://www.coursera.org/account/accomplishments/specialization/6PWFBSAMFXQU,Coursera,Jun 2020,,6PWFBSAMFXQU
"Data Engineering, Big Data, and Machine Learning on GCP specialization",https://www.coursera.org/account/accomplishments/specialization/certificate/RNKM5S8EQKDY,Coursera,Jun 2020,,RNKM5S8EQKDY
Model Thinking,https://www.coursera.org/account/accomplishments/certificate/MYQRW2WWKDLG,Coursera,Aug 2020,,MYQRW2WWKDLG
Finance for Senior Executives,,SDA Bocconi,Nov 2023,,
Technical Fundamentals of Generative AI,https://digitalcredential.stanford.edu/check/A3E6CCE2D875C8CFACC81A24E55BD0FB66FC527C8E29F741EE64DC567DF6466DVjUrYlI1dDhmdkpYTitTMHRNOFhNSTIvUkVSVHZ2RDFOK2EvZzhrSTFTSjBPOERZ,Stanford Online,Dec 2024,,
